journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
npj Artificial Intelligence,Nature Portfolio,2025,2025-05-14,Deep learning-based framework for the on-demand inverse design of metamaterials with arbitrary target band gap,Than V. Tran; S.S. Nanthakumar; Xiaoying Zhuang,1,1,10.1038/s44387-025-00001-1,https://doi.org/10.1038/s44387-025-00001-1,article,npj Artificial Intelligence,https://openalex.org/W4410375100
npj Artificial Intelligence,Nature Portfolio,2025,2025-05-14,Hitchlearning: a general free-lunch paradigm for single-image enhancement by unifying inference and training,Jiaxin Liu; Yuchen Mo Guo; Lu Fang; Qionghai Dai,1,1,10.1038/s44387-025-00004-y,https://doi.org/10.1038/s44387-025-00004-y,article,npj Artificial Intelligence,https://openalex.org/W4410375565
npj Artificial Intelligence,Nature Portfolio,2025,2025-05-14,"Omniforce: on human-centered, large model empowered and cloud-edge collaborative AutoML system",Chao Xue; Wei Liu; Shuai Xie; Zhenfang Wang; Jiaxing Li; Xuyang Peng; Liang Ding; Shanshan Zhao; Qiong Cao; Yibo Yang; Fengxiang He; Bohua Cai; Rongcheng Bian; Yiyan Zhao; Heliang Zheng; Xiangyang Liu; Dongkai Liu; Daqing Liu; Li Shen; Chang Li; Shijin Zhang; Fei Wang; Yinhao Bai; Yukang Zhang; Guanpu Chen; Shixiang Chen; Jing Zhang; Yibing Zhan; Chaoyue Wang; Dacheng Tao,1,1,10.1038/s44387-025-00002-0,https://doi.org/10.1038/s44387-025-00002-0,article,npj Artificial Intelligence,https://openalex.org/W4410374138
npj Artificial Intelligence,Nature Portfolio,2025,2025-05-14,PRefLexOR: preference-based recursive language modeling for exploratory optimization of reasoning and agentic thinking,Markus J. Buehler,1,1,10.1038/s44387-025-00003-z,https://doi.org/10.1038/s44387-025-00003-z,article,npj Artificial Intelligence,https://openalex.org/W4410374120
npj Artificial Intelligence,Nature Portfolio,2025,2025-05-14,npj Artificial Intelligence—Editorial journal inauguration,Hui Yun Xiong,1,1,10.1038/s44387-025-00007-9,https://doi.org/10.1038/s44387-025-00007-9,article,npj Artificial Intelligence,https://openalex.org/W4410375105
npj Artificial Intelligence,Nature Portfolio,2025,2025-06-04,AI system facilitates people with blindness and low vision in interpreting and experiencing unfamiliar environments,Haozhe Lin; Jiangtao Gong; Yu Wang; Jinsong Zhang; Bing Bai; Yan Zhang; Luyao Wang; Chenyu Wei; Yancheng Cao; Kun Li; Ruqi Huang; Guyue Zhou,1,1,10.1038/s44387-025-00006-w,https://doi.org/10.1038/s44387-025-00006-w,article,npj Artificial Intelligence,https://openalex.org/W4411043113
npj Artificial Intelligence,Nature Portfolio,2025,2025-06-04,Estimating full-field displacement in biological images using deep learning,Solomon J. E. T. Warsop; Soraya Caixeiro; Marcus Bischoff; Jochen Kursawe; Graham D. Bruce; Philip Wijesinghe,1,1,10.1038/s44387-025-00005-x,https://doi.org/10.1038/s44387-025-00005-x,article,npj Artificial Intelligence,https://openalex.org/W4411042872
npj Artificial Intelligence,Nature Portfolio,2025,2025-06-09,A Mamba-based foundation model for materials,Eduardo Almeida Soares; Emílio Vital Brazil; Victor Yukio Shirasuna; Dmitry Yu. Zubarev; Renato Cerqueira; Kristin Schmidt,1,1,10.1038/s44387-025-00009-7,https://doi.org/10.1038/s44387-025-00009-7,article,npj Artificial Intelligence,https://openalex.org/W4411160688
npj Artificial Intelligence,Nature Portfolio,2025,2025-06-09,Large language models for disease diagnosis: a scoping review,Shuang Zhou; Zidu Xu; Mian Zhang; Chunpu Xu; Yawen Guo; Zaifu Zhan; Yi Fang; Sirui Ding; Jiashuo Wang; Kaishuai Xu; Liqiao Xia; Jeremy Yeung; Daochen Zha; Dongming Cai; Genevieve B. Melton; Mingquan Lin; Rui Zhang,1,1,10.1038/s44387-025-00011-z,https://doi.org/10.1038/s44387-025-00011-z,article,npj Artificial Intelligence,https://openalex.org/W4411147644
npj Artificial Intelligence,Nature Portfolio,2025,2025-07-03,Privacy-preserving data reprogramming,Haoyue Bai; Wangyang Ying; Nanxu Gong; Xinyuan Wang; Yanjie Fu,1,1,10.1038/s44387-025-00012-y,https://doi.org/10.1038/s44387-025-00012-y,article,npj Artificial Intelligence,https://openalex.org/W4411963561
npj Artificial Intelligence,Nature Portfolio,2025,2025-07-07,MU-Diff: a mutual learning diffusion model for synthetic MRI with Application for brain lesions,Sanuwani Dayarathna; Yicheng Wu; Jianfei Cai; Tien‐Tsin Wong; Meng Law; Kh Tohidul Islam; Himashi Peiris; Zhaolin Chen,1,1,10.1038/s44387-025-00016-8,https://doi.org/10.1038/s44387-025-00016-8,article,npj Artificial Intelligence,https://openalex.org/W4412083644
npj Artificial Intelligence,Nature Portfolio,2025,2025-07-10,Symmetry breaking in neural network optimization: insights from input dimension expansion,Junjie Zhang; Nan Sheng Cheng; Fupeng Li; Xiucheng Wang; Jiannan Chen; Long-Gang Pang; Deyu Meng,1,1,10.1038/s44387-025-00010-0,https://doi.org/10.1038/s44387-025-00010-0,article,npj Artificial Intelligence,https://openalex.org/W4412177598
npj Artificial Intelligence,Nature Portfolio,2025,2025-07-14,Learning from one and only one shot,Haizi Yu; Igor Mineyev; Lav R. Varshney; James A. Evans,1,1,10.1038/s44387-025-00017-7,https://doi.org/10.1038/s44387-025-00017-7,article,npj Artificial Intelligence,https://openalex.org/W4412380437
npj Artificial Intelligence,Nature Portfolio,2025,2025-08-04,Geometric sparsification in recurrent neural networks,Wyatt Mackey; Ioannis D. Schizas; Jared Deighton; David L. Boothe; Vasileios Maroulas,1,1,10.1038/s44387-025-00013-x,https://doi.org/10.1038/s44387-025-00013-x,article,npj Artificial Intelligence,https://openalex.org/W4412881791
npj Artificial Intelligence,Nature Portfolio,2025,2025-08-04,The influence of stereotypes and visual features on donation intentions in online medical crowdfunding campaigns: A comparison of survey and large language model-based methods,Xupin Zhang; Xiaorong Zheng; Jiebo Luo,1,1,10.1038/s44387-025-00008-8,https://doi.org/10.1038/s44387-025-00008-8,article,npj Artificial Intelligence,https://openalex.org/W4412881808
npj Artificial Intelligence,Nature Portfolio,2025,2025-08-05,Exploring the role of large language models in the scientific method: from hypothesis to discovery,Yanbo Zhang; Sumeer Ahmad Khan; A. K. M. Firoj Mahmud; Huck Yang; Alexander Lavin; Michael Levin; Jeremy Graham Frey; Jared Dunnmon; James H. Evans; Alan Bundy; Sašo Džeroski; Jesper N. Tegner; Héctor Zenil,1,1,10.1038/s44387-025-00019-5,https://doi.org/10.1038/s44387-025-00019-5,article,npj Artificial Intelligence,https://openalex.org/W4412954363
