journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Applied Soft Computing,Elsevier,2025,2025-01-01,A skin lesion segmentation network with edge and body fusion,Gao Wang; Qisen Ma; Yiyang Li; Keming Mao; Lisheng Xu; Yuhai Zhao,170,,10.1016/j.asoc.2024.112683,https://doi.org/10.1016/j.asoc.2024.112683,article,Applied Soft Computing,https://openalex.org/W4405963904
Applied Soft Computing,Elsevier,2025,2025-01-01,Editorial Board,,169,,10.1016/s1568-4946(25)00019-5,https://doi.org/10.1016/s1568-4946(25)00019-5,paratext,Applied Soft Computing,https://openalex.org/W4406242559
Applied Soft Computing,Elsevier,2025,2025-01-01,Evolutionary induced survival trees for medical prognosis assessment,Małgorzata Krętowska; Marek Krętowski,170,,10.1016/j.asoc.2024.112674,https://doi.org/10.1016/j.asoc.2024.112674,article,Applied Soft Computing,https://openalex.org/W4405963751
Applied Soft Computing,Elsevier,2025,2025-01-01,Multi-type radar deployment for UAV swarms defense coverage using Firework Algorithm with Determinantal Point Processes under complex terrain,Ruxuan Ding; Shengbo Hu; Zehua Xing; Tingting Yan,170,,10.1016/j.asoc.2024.112681,https://doi.org/10.1016/j.asoc.2024.112681,article,Applied Soft Computing,https://openalex.org/W4405963774
Applied Soft Computing,Elsevier,2025,2025-01-02,A multi-dimensional co-evolutionary algorithm for multi-objective resource-constrained flexible flowshop with robotic transportation,Jiake Li; Jiake Li; Rong-hao Li; Xin Yu; Ying Xu,170,,10.1016/j.asoc.2024.112689,https://doi.org/10.1016/j.asoc.2024.112689,article,Applied Soft Computing,https://openalex.org/W4406018902
Applied Soft Computing,Elsevier,2025,2025-01-02,Unsupervised discovery of 3D structural elements for scanned indoor scenes,Miloš Antić; Andrej Zdešar; José Antonio Iglesias; Araceli Sanchis; Igor Škrjanc,170,,10.1016/j.asoc.2024.112680,https://doi.org/10.1016/j.asoc.2024.112680,article,Applied Soft Computing,https://openalex.org/W4405982928
Applied Soft Computing,Elsevier,2025,2025-01-05,A neural network with strong interpretability for solving optimization problems,Jianhan Fan; Yiming Liao; Jianxiao Zou; Kaiji Liao; Shicai Fan,170,,10.1016/j.asoc.2024.112688,https://doi.org/10.1016/j.asoc.2024.112688,article,Applied Soft Computing,https://openalex.org/W4406073766
Applied Soft Computing,Elsevier,2025,2025-01-05,An Off-policy maximum entropy deep reinforcement learning method for data-driven secondary frequency control of island microgrid,Xiangmin Huang; Jun Zeng; Tianlun Wang; Shunqi Zeng,170,,10.1016/j.asoc.2025.112694,https://doi.org/10.1016/j.asoc.2025.112694,article,Applied Soft Computing,https://openalex.org/W4406082862
Applied Soft Computing,Elsevier,2025,2025-01-05,An adaptive NSGA-Ⅱ for electric vehicle routing problem with charging/discharging based on time-of-use electricity pricing and diverse charging stations,Junyu Li; Liu Changshi; Kunxiang Yi; Lijun Fan; Wu Zhang,170,,10.1016/j.asoc.2025.112704,https://doi.org/10.1016/j.asoc.2025.112704,article,Applied Soft Computing,https://openalex.org/W4406071362
Applied Soft Computing,Elsevier,2025,2025-01-05,Automatic block size optimization in the LOF algorithm for efficient anomaly detection,Czesław Horyń; Agnieszka Nowak-Brzezińska,170,,10.1016/j.asoc.2024.112675,https://doi.org/10.1016/j.asoc.2024.112675,article,Applied Soft Computing,https://openalex.org/W4406073112
Applied Soft Computing,Elsevier,2025,2025-01-05,Bayesian network ensemble models applied to seismic liquefaction prediction based on different in-situ test databases,Wenjun Zou; Jilei Hu,170,,10.1016/j.asoc.2024.112668,https://doi.org/10.1016/j.asoc.2024.112668,article,Applied Soft Computing,https://openalex.org/W4406079818
Applied Soft Computing,Elsevier,2025,2025-01-05,Complex-valued random vector functional link neural network based on real augmented representation and its applications,Chunyang Liu; Huisheng Zhang; Luyao Chen; Feng Li,170,,10.1016/j.asoc.2024.112682,https://doi.org/10.1016/j.asoc.2024.112682,article,Applied Soft Computing,https://openalex.org/W4406082816
Applied Soft Computing,Elsevier,2025,2025-01-05,Deep generative approaches for oversampling in imbalanced data classification problems: A comprehensive review and comparative analysis,Mozafar Hayaeian Shirvan; Mohammad Hossein Moattar; Mehdi Hosseinzadeh,170,,10.1016/j.asoc.2024.112677,https://doi.org/10.1016/j.asoc.2024.112677,article,Applied Soft Computing,https://openalex.org/W4406082863
Applied Soft Computing,Elsevier,2025,2025-01-05,Detecting and differentiating the DDoS and flash events using adaptive deep learning models,Naorem Nalini Devi; Khundrakpam Johnson Singh,171,,10.1016/j.asoc.2024.112669,https://doi.org/10.1016/j.asoc.2024.112669,article,Applied Soft Computing,https://openalex.org/W4406074349
Applied Soft Computing,Elsevier,2025,2025-01-05,Dual-Stage Jaya algorithm for optimizing valve openings in heating system networks,Chao Chen Xu; Yangli Jia; Hongyan Sang; Leilei Meng; Biao Zhang; Wenqiang Zou,170,,10.1016/j.asoc.2025.112693,https://doi.org/10.1016/j.asoc.2025.112693,article,Applied Soft Computing,https://openalex.org/W4406070843
Applied Soft Computing,Elsevier,2025,2025-01-05,"From overfitting to robustness: Quantity, quality, and variety oriented negative sample selection in graph contrastive learning",Adnan Ali; Jinlong Li; Huanhuan Chen; Ali Kashif Bashir,170,,10.1016/j.asoc.2024.112672,https://doi.org/10.1016/j.asoc.2024.112672,article,Applied Soft Computing,https://openalex.org/W4406070218
Applied Soft Computing,Elsevier,2025,2025-01-05,Gene expression selection for cancer classification using intelligent collaborative filtering and hamming distance guided multi-objective swarm optimization,Prativa Agarwalla; Sumitra Mukhopadhyay,170,,10.1016/j.asoc.2024.112654,https://doi.org/10.1016/j.asoc.2024.112654,article,Applied Soft Computing,https://openalex.org/W4406082792
Applied Soft Computing,Elsevier,2025,2025-01-05,Hyperspectral image classification based on mixed similarity graph convolutional network and pixel refinement,Ronghua Shang; Keyao Zhu; Huidong Chang; Weitong Zhang; Jie Feng; Songhua Xu,170,,10.1016/j.asoc.2024.112657,https://doi.org/10.1016/j.asoc.2024.112657,article,Applied Soft Computing,https://openalex.org/W4406070789
Applied Soft Computing,Elsevier,2025,2025-01-05,Knowledge enhanced data analytics based on three-way decision and granular computing,Weiping Ding; José Carlos R. Alcantud; Jianming Zhan; Oscar Castillo; Yiyu Y. Yao,171,,10.1016/j.asoc.2025.112712,https://doi.org/10.1016/j.asoc.2025.112712,article,Applied Soft Computing,https://openalex.org/W4406082833
