journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,A Modern Take on Visual Relationship Reasoning for Grasp Planning,Paolo Rabino; Tatiana Tommasi,10,2,10.1109/lra.2024.3524910,https://doi.org/10.1109/lra.2024.3524910,article,IEEE Robotics and Automation Letters,https://openalex.org/W4405974792
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,A Wheel-Gripper: Enabling Multifunctionality through Factorability,Hao Luo; Jiajun Cui; Mark M. Plecnik; Bill Goodwine,,,10.1109/lra.2025.3615023,https://doi.org/10.1109/lra.2025.3615023,article,IEEE Robotics and Automation Letters,https://openalex.org/W4414499171
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,An Image-Guided Robotic System for Transcranial Magnetic Stimulation: System Development and Experimental Evaluation,Yihao Liu; Jiaming Zhang; Letian Ai; Jing Tian; Shahriar Sefati; Huan Liu; Alejandro Martin Gomez; Amir Kheradmand; Mehran Armand,10,2,10.1109/lra.2024.3524900,https://doi.org/10.1109/lra.2024.3524900,article,IEEE Robotics and Automation Letters,https://openalex.org/W4405974657
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,Correspondence-free Relative Pose Estimation: A Global Approach with Sparse Feature-guided Directional Embedding,Dun Dai; Quan Quan; Kai-Yuan Cai; Ruoyuan Wang,,,10.1109/lra.2025.3587558,https://doi.org/10.1109/lra.2025.3587558,letter,IEEE Robotics and Automation Letters,https://openalex.org/W4412375056
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,Dual Attention-Aided Cooperative Deep-Spatiotemporal-Feature-Extraction Network for Semi-Supervised Soft Sensing,Xudong Shi; Qi Kang; MengChu Zhou; HanQiu Bao; Jing An; Abdullah M. Abusorrah; Kefan Wang; Yusuf A. Al‐Turki,10,3,10.1109/lra.2024.3524901,https://doi.org/10.1109/lra.2024.3524901,article,IEEE Robotics and Automation Letters,https://openalex.org/W4405975136
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,Duality of the Existing Geometric Variable Strain Models for the Dynamic Modeling of Continuum Robots,A. Ouyoucef; Quentin Peyron; Vincent Lebastard; Federico Renda; Gang Zheng; Frédéric Boyer,10,2,10.1109/lra.2024.3524898,https://doi.org/10.1109/lra.2024.3524898,article,IEEE Robotics and Automation Letters,https://openalex.org/W4405974630
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,Energy-shaping Controller for Time-invariant Multiple Contacts,Ehtisham ul Hasan; Angelika Peer,,,10.1109/lra.2025.3610015,https://doi.org/10.1109/lra.2025.3610015,article,IEEE Robotics and Automation Letters,https://openalex.org/W4414196881
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,Generalized Maximum Likelihood Estimation for Perspective-n-Point Problem,Tian Zhan; Chunfeng Xu; Cheng Zhang; Ke Zhu,10,2,10.1109/lra.2024.3524907,https://doi.org/10.1109/lra.2024.3524907,article,IEEE Robotics and Automation Letters,https://openalex.org/W4405974108
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,Hybrid Tendon-Actuated and Soft Magnetic Robotic Platform for Pancreatic Applications,Benjamin Calmé; Adam G. Metcalf; Michael Brockdorff; Haneul Jang; Yoonsue Choi; Peter Lloyd; Seok Chang Ryu; Pietro Valdastri,10,2,10.1109/lra.2024.3524889,https://doi.org/10.1109/lra.2024.3524889,article,IEEE Robotics and Automation Letters,https://openalex.org/W4405975044
IEEE Robotics and Automation Letters,IEEE,2025,2025-01-01,MetaSonic: Advancing Robot Localization With Directional Embedded Acoustic Signals,Junling Wang; Zhenlin An; Yi Guo,10,2,10.1109/lra.2024.3524903,https://doi.org/10.1109/lra.2024.3524903,article,IEEE Robotics and Automation Letters,https://openalex.org/W4405974215
