journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Expert Systems with Applications,Elsevier,2025,2025-01-01,A traditional Chinese medicine prescription recommendation model based on contrastive pre-training and hierarchical structure network,H. M. Hu; Yaqian Li; Zeyu Zheng; Wenjun Hu; Riyang Lin; Yanlei Kang,268,,10.1016/j.eswa.2024.126318,https://doi.org/10.1016/j.eswa.2024.126318,article,Expert Systems with Applications,https://openalex.org/W4405973188
Expert Systems with Applications,Elsevier,2025,2025-01-01,Deep dive into clarity: Leveraging signal-to-noise ratio awareness and knowledge distillation for underwater image enhancement,Guodong Fan; Jingchun Zhou; Chengpei Xu; Zheng Cheng,269,,10.1016/j.eswa.2024.126317,https://doi.org/10.1016/j.eswa.2024.126317,article,Expert Systems with Applications,https://openalex.org/W4405986878
Expert Systems with Applications,Elsevier,2025,2025-01-01,Designing a double auction mechanism for parallel machines scheduling with multiple consumer agents and resource agents,Yaqiong Liu; Shudong Sun; Gaopan Shen; Xi Vincent Wang; Lihui Wang,268,,10.1016/j.eswa.2024.126275,https://doi.org/10.1016/j.eswa.2024.126275,article,Expert Systems with Applications,https://openalex.org/W4405931185
Expert Systems with Applications,Elsevier,2025,2025-01-01,Leading the green charge: A novel type-2 fuzzy VIKOR method applied to eco-conscious freight transport,Sepehr Hendiani; Ali Ebadi Torkayesh; Sandra Venghaus; Grit Walther,,,10.34734/fzj-2026-00144,https://doi.org/10.34734/fzj-2026-00144,article,Expert Systems with Applications,https://openalex.org/W7119618499
Expert Systems with Applications,Elsevier,2025,2025-01-01,Macroeconomic nowcasting (st)ability: Evidence from vintages of time-series data,Elżbieta Jowik; Agnieszka Jastrzębska; Gonzalo Nápoles,269,,10.1016/j.eswa.2024.126307,https://doi.org/10.1016/j.eswa.2024.126307,article,Expert Systems with Applications,https://openalex.org/W4405963868
Expert Systems with Applications,Elsevier,2025,2025-01-01,Metaheuristics for pruning convolutional neural networks: A comparative study,Vikas Palakonda; Jamshid Tursunboev; Jae‐Mo Kang; Sunghwan Moon,268,,10.1016/j.eswa.2024.126326,https://doi.org/10.1016/j.eswa.2024.126326,article,Expert Systems with Applications,https://openalex.org/W4405986920
Expert Systems with Applications,Elsevier,2025,2025-01-01,Multimodal fusion framework based on knowledge graph for personalized recommendation,Jingjing Wang; Haoran Xie; Siyu Zhang; S. Joe Qin; Xiaohui Tao; Fu Lee Wang; Xiaoliang Xu,268,,10.1016/j.eswa.2024.126308,https://doi.org/10.1016/j.eswa.2024.126308,article,Expert Systems with Applications,https://openalex.org/W4405973186
Expert Systems with Applications,Elsevier,2025,2025-01-01,Unlocking the power of transfer learning with Ad-Dabit-Al-Lughawi: A token classification approach for enhanced Arabic Text Diacritization,Abderrahman Skiredj; Ismaïl Berrada,269,,10.1016/j.eswa.2024.126166,https://doi.org/10.1016/j.eswa.2024.126166,article,Expert Systems with Applications,https://openalex.org/W4405963911
Expert Systems with Applications,Elsevier,2025,2025-01-02,A convolutional transformer network with adaptation learning modules for enhancing motor imagery classification,Rongrong Fu; Linmeng Shen; Bin Lu; Mengpu Cai; Guilin Wen; Junxiang Chen; Chengcheng  cheng Hua,269,,10.1016/j.eswa.2025.126381,https://doi.org/10.1016/j.eswa.2025.126381,article,Expert Systems with Applications,https://openalex.org/W4406011385
Expert Systems with Applications,Elsevier,2025,2025-01-02,A group decision-making method for public opinion response plans: Herd behavior and two-stage consensus-reaching,Jing Ma; Dan Wang; Edward Arthur McBean; Jun Feng Su,268,,10.1016/j.eswa.2024.126367,https://doi.org/10.1016/j.eswa.2024.126367,article,Expert Systems with Applications,https://openalex.org/W4405999073
Expert Systems with Applications,Elsevier,2025,2025-01-02,Adaptive deep learning framework for robust unsupervised underwater image enhancement,Alzayat Saleh; Marcus J. Sheaves; Dean Robert Jerry; Mostafa Rahimi Azghadi,268,,10.1016/j.eswa.2024.126314,https://doi.org/10.1016/j.eswa.2024.126314,article,Expert Systems with Applications,https://openalex.org/W4405997983
Expert Systems with Applications,Elsevier,2025,2025-01-02,CroSA: Unsupervised domain adaptation abnormal behavior detection via cross-space alignment,Huiyu Mu; Xianyu Zuo; Jun Su; Yun Hu; Shubing Han; Baojun Qiao; Cheng Zhi Yuan; Lanxue Dang,268,,10.1016/j.eswa.2024.126368,https://doi.org/10.1016/j.eswa.2024.126368,article,Expert Systems with Applications,https://openalex.org/W4405987245
Expert Systems with Applications,Elsevier,2025,2025-01-02,Editorial Board,,265,,10.1016/s0957-4174(24)03197-x,https://doi.org/10.1016/s0957-4174(24)03197-x,paratext,Expert Systems with Applications,https://openalex.org/W4405994831
Expert Systems with Applications,Elsevier,2025,2025-01-02,GeoSMIE: An event extraction framework for Document-Level spatial morphological information extraction,Deping Chu; Bo Wan; Huizhu Ni; Hong Li; Zhuo Tan; Yan Dai; Zijing Wan; Tao Tang; Shunping Zhou,268,,10.1016/j.eswa.2024.126378,https://doi.org/10.1016/j.eswa.2024.126378,article,Expert Systems with Applications,https://openalex.org/W4406011404
Expert Systems with Applications,Elsevier,2025,2025-01-02,IoT security using heuristic aided symmetric convolution-based deep temporal convolution network for intrusion detection by extracting multi-cascaded deep attention features,R Latha; S. John Justin Thangaraj,269,,10.1016/j.eswa.2024.126363,https://doi.org/10.1016/j.eswa.2024.126363,article,Expert Systems with Applications,https://openalex.org/W4406011579
Expert Systems with Applications,Elsevier,2025,2025-01-02,MAED: Mask assignment encoder decoder solver for multiple patterning layout decomposition,Fang Yu; Jiwei Shen; Shujing Lyu; Yue Lu,268,,10.1016/j.eswa.2024.126309,https://doi.org/10.1016/j.eswa.2024.126309,article,Expert Systems with Applications,https://openalex.org/W4406011370
Expert Systems with Applications,Elsevier,2025,2025-01-02,Prescriptive analytics for dynamic multi-criterion decision making considering learned knowledge of alternatives,Shanshan Yang; Huchang Liao; Xingli Wu,268,,10.1016/j.eswa.2024.126350,https://doi.org/10.1016/j.eswa.2024.126350,article,Expert Systems with Applications,https://openalex.org/W4405992188
Expert Systems with Applications,Elsevier,2025,2025-01-02,Study on deterministic and interval forecasting of electricity load based on multi-objective whale optimization algorithm and transformer model,Pei Du; Yuxin Ye; Han Wu; Jianzhou Wang,268,,10.1016/j.eswa.2024.126361,https://doi.org/10.1016/j.eswa.2024.126361,article,Expert Systems with Applications,https://openalex.org/W4406011542
Expert Systems with Applications,Elsevier,2025,2025-01-02,"Synchronizing adaptive LFAs defense in AIoT using hybrid Spatial–Temporal Graph model with programmable data plane, SDN",Jie Ma; Wei Su,268,,10.1016/j.eswa.2024.126280,https://doi.org/10.1016/j.eswa.2024.126280,article,Expert Systems with Applications,https://openalex.org/W4405992217
Expert Systems with Applications,Elsevier,2025,2025-01-02,Uncertain utility portfolio optimization based on two different criteria and improved whale optimization algorithm,Jiajun Xu; Bo Li,268,,10.1016/j.eswa.2024.126281,https://doi.org/10.1016/j.eswa.2024.126281,article,Expert Systems with Applications,https://openalex.org/W4405998278
Expert Systems with Applications,Elsevier,2025,2025-01-04,Attention-guided universal adversarial perturbations for EEG-based brain–computer interfaces,Sheng-hua Zhong; Sijia Zhao; Zhijiao Xiao; Zhi Zhang; Yan Liu,268,,10.1016/j.eswa.2024.126362,https://doi.org/10.1016/j.eswa.2024.126362,article,Expert Systems with Applications,https://openalex.org/W4406063192
Expert Systems with Applications,Elsevier,2025,2025-01-04,Central-peripheral nervous system activation in exoskeleton modes: A Granger causality analysis via EEG-EMG fusion,Xiabing Zhang; Yuqin Li; Pengfei Zhang; Dexian Wang; Guang Yao; Peng Xu,268,,10.1016/j.eswa.2024.126311,https://doi.org/10.1016/j.eswa.2024.126311,article,Expert Systems with Applications,https://openalex.org/W4406063200
