journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-01,A cross-modal collaborative guiding network for sarcasm explanation in multi-modal multi-party dialogues,Xingjie Zhuang; Zhixin Li; Canlong Zhang; Huifang Ma,142,,10.1016/j.engappai.2024.109884,https://doi.org/10.1016/j.engappai.2024.109884,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4405957019
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-01,Cross-modal augmentation for few-shot multimodal fake news detection,Ye Jiang; Taihang Wang; Taihang Wang; Xiaoman Xu; Yimin Wang; Xingyi Song; Diana Maynard,142,,10.1016/j.engappai.2024.109931,https://doi.org/10.1016/j.engappai.2024.109931,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4405957015
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-01,Frequency-guided dual-collapse Transformer for low-light image enhancement,Jianpu Lin; Fangwei Lai; Shanling Lin; Zhixian Lin; Tailiang Guo,142,,10.1016/j.engappai.2024.109906,https://doi.org/10.1016/j.engappai.2024.109906,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4405956978
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-02,A knowledge-driven scatter search algorithm for the distributed hybrid flow shop scheduling problem,Yang Zuo; Fuqing Zhao; Jianlin Zhang,142,,10.1016/j.engappai.2024.109915,https://doi.org/10.1016/j.engappai.2024.109915,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4405992516
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-02,Beyond boundaries: Advancements in fire and smoke detection for indoor and outdoor surveillance feeds,Rafaqat Alam Khan; Usama Ijaz Bajwa; Rana Hammad Raza; Muhammad Waqas Anwar,142,,10.1016/j.engappai.2024.109855,https://doi.org/10.1016/j.engappai.2024.109855,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4405997998
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-02,Editorial Board,,141,,10.1016/s0952-1976(24)02112-2,https://doi.org/10.1016/s0952-1976(24)02112-2,paratext,Engineering Applications of Artificial Intelligence,https://openalex.org/W4405988980
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-04,A novel data-driven framework for driving range prognostics in electric vehicles,Jorge E. García-Bustos; Cesar Baeza; Benjamín Brito Schiele; V. H. Ruelas Rivera; Bruno Masserano; Marcos E. Orchard; Claudio Burgos-Mellado; Aramis Perez,142,,10.1016/j.engappai.2024.109925,https://doi.org/10.1016/j.engappai.2024.109925,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063146
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-04,ENVQA: Improving Visual Question Answering model by enriching the visual feature,Souvik Chowdhury; Badal Soni,142,,10.1016/j.engappai.2024.109948,https://doi.org/10.1016/j.engappai.2024.109948,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063215
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-04,Local interpretation of deep learning models for Aspect-Based Sentiment Analysis,Stefan Lam; Ying Liu; Max Broers; Jasper van der Vos; Flavius Frăsincar; David Boekestijn; F. van der Knaap,143,,10.1016/j.engappai.2024.109947,https://doi.org/10.1016/j.engappai.2024.109947,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063152
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-04,Physics-based self-adaptive algorithm for estimating the long-term performance of concrete shrinkage,Wafaa Mohamed Shaban; Shui‐Long Shen; Ayat Gamal Ashour; Annan Zhou; Khalid Elbaz,142,,10.1016/j.engappai.2024.109945,https://doi.org/10.1016/j.engappai.2024.109945,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063216
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-04,Removing visual occlusion of construction scaffolds via a two-step method combining semantic segmentation and image inpainting,Yuexiong Ding; Muyang Liu; Ming Xumin Zhang; Xiaowei Luo,142,,10.1016/j.engappai.2024.109983,https://doi.org/10.1016/j.engappai.2024.109983,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063262
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-04,"Reshaping the future of sports with artificial intelligence: Challenges and opportunities in performance enhancement, fan engagement, and strategic decision-making",Ting Xu; Shaghayegh Baghaei,142,,10.1016/j.engappai.2024.109912,https://doi.org/10.1016/j.engappai.2024.109912,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063201
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Adaptive filtering algorithm based on Beta fluctuation and fractional order differential evolution in impulsive noise,Yongjiang Luo; Jiyang Li; Jiali Yang; Susu Yan; Yuhang Bai; Xiang Zhang,142,,10.1016/j.engappai.2024.109937,https://doi.org/10.1016/j.engappai.2024.109937,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063245
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Causality-inspired surface defect detection by transferring knowledge from natural images,Fengwei An; Shaolei Cao; Shuai Ma; Dawu Shu; Bo Han; Wanxin Li; Ruigang Liu,142,,10.1016/j.engappai.2024.109984,https://doi.org/10.1016/j.engappai.2024.109984,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063206
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Contrastive prototype learning with semantic patchmix for few-shot image classification,Mengping Dong; Fei Li; Zhenbo Li; Zhenbo Li; Xue Liu,142,,10.1016/j.engappai.2024.109917,https://doi.org/10.1016/j.engappai.2024.109917,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063218
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,DSRS: DELIGHT sequential recommender system,Syed Tauhid Ullah Shah; Fazlullah Khan; Shirin Yamani; Ryan Alturki; Foziah Gazzawe; Imran Razzak,142,,10.1016/j.engappai.2024.109936,https://doi.org/10.1016/j.engappai.2024.109936,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063205
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Dual-path information enhanced pyramid Unet for COVID-19 lung infection segmentation,Yan Zhang; Qi Mao; Yi Tian; Wenfeng Wang; Lijia Ren; Haibo Li,142,,10.1016/j.engappai.2024.109977,https://doi.org/10.1016/j.engappai.2024.109977,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063237
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Dynamic weighted adversarial domain adaptation network with sparse representation denoising module for rotating machinery fault diagnosis,Maogui Niu; Hongkai Jiang; Haidong Shao,142,,10.1016/j.engappai.2024.109963,https://doi.org/10.1016/j.engappai.2024.109963,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063242
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Few-shot remaining useful life prediction based on Bayesian meta-learning with predictive uncertainty calibration,Liang Chang; Yan‐Hui Lin,142,,10.1016/j.engappai.2024.109980,https://doi.org/10.1016/j.engappai.2024.109980,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063261
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Integrating the group-based fuzzy best-worst method and fuzzy technique for order of preference by similarity to ideal solution for selecting contractors for heritage building renovation projects,LiuMing Long,142,,10.1016/j.engappai.2024.109928,https://doi.org/10.1016/j.engappai.2024.109928,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063247
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Intra- and inter-instance Location Correlation Network for human–object interaction detection,Minglang Lu; Guanci Yang; Yang Wang; Kexin Luo,142,,10.1016/j.engappai.2024.109942,https://doi.org/10.1016/j.engappai.2024.109942,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063150
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Multi-objective optimization of buckling load and natural frequency in functionally graded porous nanobeams using non-dominated sorting genetic Algorithm-II,Hao Liu; Ali Basem; Dheyaa Jumaah Jasim; Mohammad A. Hashemian; Sayyed Ali Eftekhari; Halah Jawad Al-fanhrawi; Barno Sayfutdinovna Abdullaeva; Soheil Salahshour,142,,10.1016/j.engappai.2024.109938,https://doi.org/10.1016/j.engappai.2024.109938,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063253
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Spatio-temporal collaborative multiple-stream transformer network for liver lesion classification on multiple-sequence magnetic resonance imaging,Shuangping Huang; Zinan Hong; Bianzhe Wu; Jinglin Liang; Qinghua Huang,142,,10.1016/j.engappai.2024.109933,https://doi.org/10.1016/j.engappai.2024.109933,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063232
Engineering Applications of Artificial Intelligence,Elsevier,2025,2025-01-05,Stampede detector based on deep learning models using dense optical flow,Antonio Carlos Cob-Parro; Cristina Losada-Gutiérrez; Marta Marrón-Romera,142,,10.1016/j.engappai.2024.109940,https://doi.org/10.1016/j.engappai.2024.109940,article,Engineering Applications of Artificial Intelligence,https://openalex.org/W4406063130
